,precision,recall,f1-score,support
0,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
1,0.5833333333333334,0.875,0.7000000000000001,8.0
2,0.9166666666666666,0.6875,0.7857142857142857,16.0
accuracy,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.8055555555555556
macro avg,0.8055555555555555,0.8263888888888888,0.8007936507936507,36.0
weighted avg,0.8425925925925927,0.8055555555555556,0.8103174603174603,36.0
